Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
02079K107,Individual,Equities Example Individuals Ontology,,Alphabet Inc. class C common share CUSIP,,,,Release
02079K305,Individual,Equities Example Individuals Ontology,,Alphabet Inc. class A common share CUSIP,,,,Release
037833100,Individual,Equities Example Individuals Ontology,,Apple Inc. common share CUSIP,,,,Release
172967424,Individual,Equities Example Individuals Ontology,,Citigroup Inc. common share CUSIP,,,,Release
191216100,Individual,Equities Example Individuals Ontology,,The Coca-Cola Company common share CUSIP,,,,Release
24 EXCHANGE,Individual,Markets Individuals,,,,,,Release
24 EXCHANGE as service provider,Individual,Markets Individuals,,,,,,Release
24 EXCHANGE operating-level market identifier,Individual,Markets Individuals,,,,,,Release
360 TRADING NETWORKS INC.,Individual,Markets Individuals,,,,,,Release
360 TRADING NETWORKS INC.,Individual,Markets Individuals,,,,,,Release
360 TRADING NETWORKS INC. as service provider,Individual,Markets Individuals,,,,,,Release
360 TRADING NETWORKS INC. operating-level market identifier,Individual,Markets Individuals,,,,,,Release
360 TRADING NETWORKS INC. operating-level market identifier,Individual,Markets Individuals,,,,,,Release
360 TRADING NETWORKS UK LIMITED as service provider,Individual,Markets Individuals,,,,,,Release
360 TREASURY SYSTEMS AG as service provider,Individual,Markets Individuals,,,,,,Release
360T,Individual,Markets Individuals,,,,,,Release
360T operating-level market identifier,Individual,Markets Individuals,,,,,,Release
4 AFRICA EXCHANGE (PTY) LTD,Individual,Markets Individuals,,,,,,Release
4 AFRICA EXCHANGE (PTY) LTD as service provider,Individual,Markets Individuals,,,,,,Release
4 AFRICA EXCHANGE (PTY) LTD operating-level market identifier,Individual,Markets Individuals,,,,,,Release
42 FINANCIAL SERVICES,Individual,Markets Individuals,,,,,,Release
42 FINANCIAL SERVICES - MTF,Individual,Markets Individuals,,,,,,Release
42 FINANCIAL SERVICES - MTF as service provider,Individual,Markets Individuals,,,,,,Release
42 FINANCIAL SERVICES - MTF market segment-level market identifier,Individual,Markets Individuals,,,,,,Release
42 FINANCIAL SERVICES operating-level market identifier,Individual,Markets Individuals,,,,,,Release
437076102,Individual,Equities Example Individuals Ontology,,"The Home Depot, Inc. common share CUSIP",,,,Release
459200101,Individual,Equities Example Individuals Ontology,,IBM common share CUSIP,,,,Release
46625H100,Individual,Equities Example Individuals Ontology,,JPMorgan Chase & Co. common share CUSIP,,,,Release
742718109,Individual,Equities Example Individuals Ontology,,The Proctor & Gamble Company common share CUSIP,,,,Release
949746101,Individual,Equities Example Individuals Ontology,,Wells Fargo & Company common share CUSIP,,,,Release
A AND G BANCA PRIVADA SAU,Individual,Markets Individuals,,,,,,Release
A AND G BANCA PRIVADA SAU as service provider,Individual,Markets Individuals,,,,,,Release
